2020.06.30 06:24:09 INFO  es[][o.e.n.Node] initializing ...
2020.06.30 06:24:10 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/mapper/vg_data-lvol0)]], net usable_space [285.7gb], net total_space [299.8gb], spins? [possibly], types [xfs]
2020.06.30 06:24:10 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2020.06.30 06:24:10 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [B0j2LfvfQwKybji-3SBmhQ]
2020.06.30 06:24:10 INFO  es[][o.e.n.Node] version[5.6.3], pid[25], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Linux/3.10.0-957.5.1.el7.x86_64/amd64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/1.8.0_181/25.181-b13]
2020.06.30 06:24:10 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch]
2020.06.30 06:24:10 INFO  es[][o.e.p.PluginsService] loaded module [aggs-matrix-stats]
2020.06.30 06:24:10 INFO  es[][o.e.p.PluginsService] loaded module [ingest-common]
2020.06.30 06:24:10 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2020.06.30 06:24:10 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2020.06.30 06:24:10 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2020.06.30 06:24:10 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2020.06.30 06:24:10 INFO  es[][o.e.p.PluginsService] no plugins loaded
2020.06.30 06:24:14 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen]
2020.06.30 06:24:14 INFO  es[][o.e.n.Node] initialized
2020.06.30 06:24:14 INFO  es[][o.e.n.Node] starting ...
2020.06.30 06:24:15 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2020.06.30 06:24:18 INFO  es[][o.e.c.s.ClusterService] new_master {sonarqube}{B0j2LfvfQwKybji-3SBmhQ}{SaahJU15QcGoxibx7077pg}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: zen-disco-elected-as-master ([0] nodes joined)
2020.06.30 06:24:18 INFO  es[][o.e.n.Node] started
2020.06.30 06:24:18 INFO  es[][o.e.g.GatewayService] recovered [0] indices into cluster_state
2020.06.30 06:24:30 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [metadatas] creating index, cause [api], templates [], shards [1]/[0], mappings []
2020.06.30 06:24:30 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
2020.06.30 06:24:30 INFO  es[][o.e.c.m.MetaDataMappingService] [metadatas/Pzxq9P4gRQ2NpunkVaprZw] create_mapping [metadata]
2020.06.30 06:24:31 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [components] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:24:31 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[components][4]] ...]).
2020.06.30 06:24:31 INFO  es[][o.e.c.m.MetaDataMappingService] [components/cZPfxMgwRNGSvTQAiEnK9w] create_mapping [component]
2020.06.30 06:24:31 INFO  es[][o.e.c.m.MetaDataMappingService] [components/cZPfxMgwRNGSvTQAiEnK9w] create_mapping [authorization]
2020.06.30 06:24:31 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [tests] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:24:31 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[tests][4]] ...]).
2020.06.30 06:24:31 INFO  es[][o.e.c.m.MetaDataMappingService] [tests/psFyGcXsTzGocy751iSZNw] create_mapping [test]
2020.06.30 06:24:31 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [projectmeasures] creating index, cause [api], templates [], shards [5]/[0], mappings []
2020.06.30 06:24:31 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[projectmeasures][4]] ...]).
2020.06.30 06:24:31 INFO  es[][o.e.c.m.MetaDataMappingService] [projectmeasures/DqSWghnrQVGD1UX8hwAEvg] create_mapping [projectmeasure]
